time,joint1_desired,joint2_desired,joint3_desired,joint4_desired,joint5_desired,joint6_desired,joint7_desired,joint1_actual,joint2_actual,joint3_actual,joint4_actual,joint5_actual,joint6_actual,joint7_actual
0.228,-0.0008845150645754267,-0.0004864832855164847,-0.001061418077490512,-1.5711696427108663,-0.002122836154981024,1.572231060788357,-0.7828363601906381,-0.00032840949580396895,0.004950844996488894,-0.0003936706110646841,-1.5757544325587816,-0.001159684041952329,1.570603619484647,-0.7843409720309829
0.229,-0.0008959268621689262,-0.0004927597741929093,-0.0010751122346027114,-1.5711745407685114,-0.002150224469205423,1.572249653003114,-0.7828045749108008,-0.00033371726570868913,0.004953473649388456,-0.00040002846341451675,-1.5757620573438609,-0.0011731296608556065,1.570611697336601,-0.7843257724175857
0.23,-0.000907433937856,-0.0004990886658208,-0.0010889207254272,-1.5711794797204672,-0.0021778414508544,1.5722684004458942,-0.7827725242528897,-0.00033908464039651167,0.00495600882335554,-0.0004064577529745317,-1.5757696522338207,-0.0011867153588489463,1.5706198815624306,-0.7843104056888182
0.231,-0.00091903664551229,-0.0005054701550317595,-0.0011028439746147481,-1.5711844597186202,-0.0022056879492294962,1.572287303693235,-0.7827402072312546,-0.00034451198026665483,0.0049584509744826895,-0.00041295891257743923,-1.5757772179731107,-0.0012004420277426638,1.5706281726466684,-0.7842948708571565
0.232,-0.0009307353384904296,-0.0005119044361697363,-0.0011168824061885154,-1.5711894809146334,-0.0022337648123770307,1.572306363320822,-0.7827076228617026,-0.00034999964567274686,0.004960800551813324,-0.0004195323750004219,-1.57578475529987,-0.001214310558894999,1.5706365710748325,-0.784279166935103
0.233,-0.0009425303696202747,-0.0005183917032911511,-0.0011310364435443297,-1.5711945434599446,-0.0022620728870886594,1.572325579903489,-0.7826747701614967,-0.00035554799691779756,0.004963057997420886,-0.0004261785729590748,-1.5757922649459923,-0.0012283218432042869,1.570645077333407,-0.7842632929352
0.234,-0.0009544220912091342,-0.0005249321501650237,-0.0011453065094509612,-1.571199647505768,-0.0022906130189019225,1.5723449540152188,-0.7826416481493552,-0.0003611573942492253,0.004965223746487138,-0.0004328979391014128,-1.5757997476371897,-0.0012424767711012076,1.5706536919098235,-0.784247247870044
0.23500000000000001,-0.0009664108550420002,-0.0005315259702731001,-0.0011596930260504002,-1.5712047932030924,-0.0023193860521008003,1.5723644862291428,-0.7826082558454516,-0.0003668281978539386,0.004967298227379608,-0.0004396909060019441,-1.5758072040930564,-0.0012567762325411196,1.5706624152924415,-0.7842310307522997
0.23600000000000002,-0.000978497012381778,-0.0005381733568099779,-0.0011741964148581337,-1.5712099807026845,-0.0023483928297162674,1.5723841771175424,-0.782574592271413,-0.00037256076785347175,0.004969281861728203,-0.0004465579061558092,-1.575814635027132,-0.0012712211169964717,1.570671247970531,-0.7842146405947144
0.23700000000000002,-0.0009906809139695175,-0.0005448745026832347,-0.0011888170967634213,-1.571215210155085,-0.0023776341935268426,1.5724040272518482,-0.7825406564503207,-0.0003783554642991741,0.004971175064500991,-0.00045349937197298475,-1.5758220411469637,-0.001285812313449294,1.5706801904342529,-0.7841980764101307
0.23800000000000002,-0.0010029629100246427,-0.0005516296005135535,-0.0012035554920295714,-1.5712204817106117,-0.002407110984059143,1.5724240372026412,-0.7825064474067083,-0.0003842126471674524,0.004972978244079164,-0.000460515735772552,-1.5758294231541672,-0.0013005507103837695,1.5706892431746424,-0.7841813372115011
